WaveNo,EnemyNo,CreateSec,CreatePosNo
1,E_0,1,2
1,E_1,3,5
1,E_4,4,0
1,E_2,5,1
1,E_5,6,4
1,E_2,6,5
1,E_0,9,2
1,E_3,10,0
1,E_2,10,3
1,E_5,14,1
1,E_3,15,5
1,E_4,16,0
1,E_2,17,4
1,E_0,20,2
1,E_1,22,1
1,E_6,23,0
1,E_3,25,2
1,E_5,26,4
1,E_6,27,5
1,E_2,28,1
2,E_4,4,0
2,E_3,4,4
2,E_0,4,0
2,E_1,8,3
2,E_5,9,1
2,E_4,10,5
2,E_0,11,0
2,E_3,15,3
2,E_6,15,2
2,E_4,16,5
2,E_7,17,4
2,E_3,20,0
2,E_2,22,1
2,E_7,24,3
2,E_1,26,2
2,E_4,28,5
2,E_5,33,0
2,E_6,33,2
2,E_3,33,3
2,E_2,36,5
2,E_0,37,0
2,E_7,38,2
3,E_4,2,1
3,E_2,5,0
3,E_4,6,4
3,E_6,7,2
3,E_3,10,5
3,E_7,11,1
3,E_2,12,0
3,E_1,15,3
3,E_1,18,4
3,E_0,20,1
3,E_6,21,5
3,E_7,25,2
3,E_4,26,0
3,E_1,27,3
3,E_3,30,1
3,E_0,32,5
3,E_5,34,2
3,E_7,36,0
3,E_2,38,1
3,E_5,40,3
3,E_6,50,2
3,E_1,50,1
3,E_0,50,4
3,E_7,50,5
