WaveNo,EnemyNo,CreateSec,CreatePosNo
1,E_2,2,3
1,E_1,3,5
1,E_0,3,0
1,E_1,5,1
1,E_4,6,2
1,E_2,8,3
1,E_3,10,1
1,E_0,12,0
1,E_1,14,3
1,E_4,14,4
1,E_3,17,1
1,E_2,18,0
1,E_0,20,5
1,E_4,20,1
1,E_2,21,3
1,E_3,23,4
2,E_2,3,3
2,E_4,3,0
2,E_1,4,1
2,E_0,6,4
2,E_2,7,5
2,E_5,9,2
2,E_0,10,0
2,E_2,12,1
2,E_5,14,4
2,E_3,16,3
2,E_2,18,0
2,E_1,18,1
2,E_0,18,5
2,E_4,20,2
2,E_2,21,4
2,E_5,23,0
2,E_3,23,3
2,E_2,25,1
3,E_0,2,3
3,E_3,3,0
3,E_2,5,1
3,E_5,5,4
3,E_4,8,0
3,E_1,9,4
3,E_0,10,2
3,E_1,11,3
3,E_3,14,0
3,E_6,14,1
3,E_5,16,5
3,E_4,18,3
3,E_2,19,1
3,E_6,20,0
3,E_5,21,3
3,E_4,24,1
3,E_6,24,2
3,E_0,24,0
3,E_4,26,4
3,E_3,26,3
